CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,13,1,2,81.54,"2,440.00",73.50,600,"2,190.00","2,290.80","1,000","20,250.00","29,475",0.55,0.60,"3,52,725",-0.65,0.60,29.44,"3,03,373","50,604","1,10,811",
,132,-,-,-,"2,438.70",27.10,"1,000","2,070.50","2,286.05","1,600","20,300.00","63,350",0.55,0.60,"67,175",-0.85,0.55,28.58,"85,253","6,199","66,018",
,12,-,2,61.54,"2,239.30",-27.05,600,"2,097.40","2,193.15","1,000","20,350.00","1,68,275",0.55,0.60,"4,475",-0.90,0.55,27.96,"51,690","10,090","10,376",
,12,-,-,-,"2,219.75",2.90,600,"2,050.45","2,188.50","1,000","20,400.00","1,975",0.65,0.80,600,-0.85,0.65,27.79,"28,449","1,892","4,410",
,11,-,-,-,"2,014.55",-,"1,000","1,926.20","2,135.90","1,000","20,450.00","3,400",0.65,0.70,"3,300",-0.95,0.65,27.16,"10,759","2,024","2,066",
,611,-2,2,55.80,"2,078.00",-134.50,325,"1,945.80","2,003.85",75,"20,500.00","60,650",0.65,0.70,"1,05,450",-1.00,0.65,26.54,"2,97,885","28,205","60,010",
,149,-,-,-,"2,132.00",-,"1,000","1,830.00","2,032.10","1,000","20,550.00","29,375",0.70,0.75,"1,800",-1.10,0.70,26.10,"13,190","2,451","2,517",
,24,-,-,-,"2,120.00",-,"1,000","1,781.70","1,979.50","1,000","20,600.00","29,500",0.70,0.75,"11,025",-1.05,0.70,25.47,"92,585","2,700","8,370",
,30,-,-,-,"2,070.00",-,"1,000","1,733.85","1,933.85","1,000","20,650.00","24,975",0.70,0.75,"12,575",-1.30,0.70,24.85,"18,651","1,917","2,390",
,150,-,-,-,"2,010.00",-31.30,600,"1,744.00","1,883.50","1,000","20,700.00","56,150",0.80,0.90,"8,250",-1.25,0.80,24.55,"67,706",-120,"3,883",
,56,-,-,-,"1,950.05",-,"2,775","1,636.80","1,835.70","1,000","20,750.00","26,475",0.80,0.90,"1,525",-1.20,0.80,23.91,"20,076","1,705","2,362",
,249,-,-,-,"1,931.55",1.90,600,"1,648.80","1,749.95","1,000","20,800.00","34,500",1.00,1.05,"14,450",-0.90,1.00,23.84,"2,69,187",389,"37,650",
,62,-,-,-,"1,850.00",-,"1,000","1,541.90","1,735.95","1,000","20,850.00","7,000",1.00,1.05,"22,175",-1.35,1.00,23.19,"39,648","3,047","4,177",
,95,-,-,-,"1,835.00",-,"2,775","1,493.15","1,685.75","1,000","20,900.00","72,400",1.05,1.10,"32,725",-1.25,1.05,22.66,"1,07,255",-285,"6,974",
,18,-,-,-,"1,760.00",-,"1,000","1,482.95","1,632.50","1,000","20,950.00",750,1.20,1.40,250,-1.50,1.25,22.45,"47,546","-4,374","4,444",
,"1,231",67,301,-,"1,500.65",-217.75,75,"1,490.55","1,547.70","1,950","21,000.00","91,175",1.15,1.25,"44,050",-1.25,1.25,21.78,"6,86,873","12,056","94,663",
,22,-,-,-,"1,715.00",-,600,"1,400.55","1,491.15","1,000","21,050.00","13,075",1.20,1.25,25,-1.70,1.25,21.12,"61,745","-3,692","2,972",
