CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,17,-,-,-,"2,448.05",-,600,"2,346.60","2,436.30",600,"20,250.00","19,425",0.45,0.50,"2,175",-1.00,0.45,51.59,"1,36,679","-2,985","1,09,460",
,130,5,17,91.50,"2,350.00",60.00,225,"2,296.75","2,397.80",25,"20,300.00","97,725",0.35,0.55,"34,700",-1.35,0.35,49.41,"1,55,055","-9,592","43,253",
,18,-,-,-,"2,263.50",-,600,"2,246.75","2,339.50",600,"20,350.00","6,950",0.35,0.50,400,-1.30,0.35,48.38,"13,822",-101,"5,939",
,18,-,-,-,"2,213.30",-,600,"2,196.50","2,289.30",600,"20,400.00",950,0.35,0.40,"1,825",-1.50,0.35,47.35,"98,480","-15,577","18,286",
,18,-,-,-,"2,164.05",-,"1,775","1,954.85","2,235.70",600,"20,450.00","1,800",0.25,0.35,600,-1.50,0.35,46.32,"29,438","1,112","9,188",
,341,-3,3,84.75,"2,150.00",-15.15,600,"2,086.90","2,196.35",75,"20,500.00",200,0.50,0.55,"1,800",-1.25,0.65,47.99,"2,40,745","-20,136","87,817",
,22,-,-,-,"2,081.05",-32.25,600,"2,048.20","2,142.90",600,"20,550.00",500,0.55,0.60,"5,325",-1.45,0.50,45.74,"20,995","1,053","5,879",
,32,-,-,-,"2,014.50",-,"1,775","1,882.75","2,099.90",600,"20,600.00","1,100",0.40,0.65,"1,800",-1.50,0.45,44.24,"1,06,154","-15,910","10,453",
,14,-,-,-,"1,966.15",-,"1,775","1,804.30","2,036.20",600,"20,650.00",250,0.55,0.70,"1,900",-1.25,0.70,45.09,"30,810","7,399","9,186",
,109,-,-,-,"1,958.00",-,600,"1,899.30","1,988.85",600,"20,700.00","1,800",0.45,0.70,"1,800",-1.40,0.50,42.57,"79,329","7,074","17,167",
,168,-,2,96.39,"1,951.50",266.50,600,"1,849.80","1,939.70",600,"20,750.00",500,0.45,0.85,"1,250",-1.50,0.55,41.90,"41,780","8,468","13,421",
,267,-3,14,70.80,"1,842.75",92.75,600,"1,799.60","1,886.10",600,"20,800.00","1,000",0.40,0.65,25,-1.40,0.55,40.84,"1,02,994","3,209","20,420",
,88,-,-,-,"1,649.40",-,600,"1,749.80","1,835.80",600,"20,850.00",250,0.55,0.65,475,-1.50,0.65,40.44,"48,423","9,418","19,267",
,42,-,-,-,"1,747.25",-,600,"1,694.70","1,789.45",600,"20,900.00","2,925",0.40,0.50,225,-1.65,0.40,37.55,"76,965","1,495","11,666",
,30,-,-,-,"1,663.85",-,"1,775","1,511.90","1,736.45",600,"20,950.00","1,625",0.55,0.80,950,-1.60,0.55,37.65,"24,764","2,142","5,267",
,"1,942",-767,"1,097",63.48,"1,641.35",-26.05,50,"1,642.00","1,645.00",50,"21,000.00","3,475",0.60,0.65,500,-1.65,0.60,36.91,"5,49,187","-13,688","1,73,910",
,42,-,-,-,"1,565.60",-,600,"1,552.30","1,639.40",600,"21,050.00","1,225",0.60,0.80,250,-1.75,0.60,35.84,"71,018","2,355","12,814",
