CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"12,000.00","1,800",3.20,-,-,-,250.10,-,-,-,24,
-,-,-,-,-,-,-,-,-,-,-,"13,000.00","2,300",7.15,-,-,-,450.00,-,-,-,8,
-,-,-,-,-,-,-,-,-,-,-,"14,000.00",500,20.05,-,-,-,500.00,-,-,-,38,
-,-,-,-,-,-,-,-,-,-,-,"15,000.00",800,26.90,-,-,-,23.00,-,-,-,88,
-,-,-,-,-,-,-,-,-,-,-,"16,000.00",500,36.30,-,-,-,27.95,-,-,-,98,
-,-,-,-,-,-,-,-,-,-,-,"17,000.00",500,54.70,-,-,-,213.30,-,-,-,120,
-,-,-,-,-,-,-,-,-,-,-,"18,000.00",500,93.95,320.00,25,-,196.35,-,-,-,242,
-,-,-,-,-,-,-,-,-,-,-,"19,000.00",700,167.95,-,-,-,380.00,-,-,-,96,
-,-,-,-,-,-,-,-,-,-,-,"20,000.00",25,370.05,449.95,25,-40.00,400.00,20.73,2,-1,207,
-,-,-,-,-,-,-,-,-,-,-,"21,000.00",500,440.55,-,-,-,500.05,-,-,-,38,
-,-,-,-,-,-,-,-,-,-,-,"22,000.00",500,642.70,-,-,-,609.65,-,-,-,4,
,20,-,-,-,"2,020.00",-,25,"2,701.05","5,499.85",25,"23,000.00",25,893.05,995.00,50,-10.00,920.00,20.69,14,12,335,
-,-,-,-,-,-,-,-,-,-,-,"24,000.00",750,950.05,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"25,000.00",750,750.05,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"26,000.00",750,975.05,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"27,000.00","9,000",6.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,0.10,-,-,"28,000.00",-,-,-,-,-,-,-,-,-,-,-
