CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,885,"8,640.05","10,356.95",885,"39,500.00",900,1.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"8,171.70","9,841.35",885,"40,000.00",900,1.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"7,900.00","9,243.50",885,"40,500.00",900,1.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"7,262.10","8,738.25",885,"41,000.00",900,1.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"6,844.10","8,152.10",885,"41,500.00",900,1.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"6,386.90","7,581.25",885,"42,000.00",900,3.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"5,907.40","7,060.60",885,"42,500.00",900,3.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"5,448.05","6,514.60",885,"43,000.00","1,800",3.40,-,-,-,13.00,-,-,-,1,
,-,-,-,-,-,-,885,"5,012.65","5,977.65",885,"43,500.00",705,7.45,-,-,-,-,-,-,-,-,
,2,2,2,-,"5,078.60","1,198.60",885,"4,542.15","5,396.80",885,"44,000.00",15,12.30,16.40,345,2.90,16.50,23.36,106,74,97,
,3,3,3,-,"5,002.45","1,213.55",885,"4,475.65","5,296.60",885,"44,100.00",330,3.70,-,-,-,-,-,-,-,-,
,6,6,6,-,"4,869.55","1,171.15",885,"4,399.10","5,185.15",885,"44,200.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,885,"4,307.90","5,075.95",885,"44,300.00",15,5.10,-,-,-,-,-,-,-,-,
,7,-,-,-,"4,938.20",-3.25,885,"4,216.70","4,966.75",885,"44,400.00",-,-,-,-,-,-,-,-,-,-,
,4,2,2,-,"4,539.80",-507.30,885,"4,118.70","4,857.55",885,"44,500.00",15,16.20,22.00,450,-,47.95,-,-,-,14,
,-,-,-,-,-,-,885,"4,034.30","4,757.05",885,"44,600.00",900,8.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"3,943.10","4,647.85",885,"44,700.00",900,5.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"3,851.90","4,541.15",885,"44,800.00",900,9.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"3,753.90","4,429.45",885,"44,900.00",900,11.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"3,669.50","4,322.50",885,"45,000.00",120,20.65,30.00,195,-3.40,23.50,20.39,278,123,232,
,-,-,-,-,-,-,885,"3,578.30","4,223.70",885,"45,100.00",900,11.10,-,-,-,30.00,-,-,-,-,
,-,-,-,-,-,-,885,"3,480.30","4,112.80",885,"45,200.00",900,11.10,-,-,-,97.85,-,-,-,3,
,-,-,-,-,-,-,885,"3,389.10","4,006.15",885,"45,300.00",900,11.10,-,-,-,76.50,-,-,-,2,
,3,3,3,-,"3,645.05",973.50,885,"3,297.90","4,082.95",885,"45,400.00",900,11.10,-,-,-,84.45,-,-,-,-,
,2,2,2,-,"3,623.00","1,031.10",885,"3,206.70","3,973.05",885,"45,500.00",30,27.00,40.00,45,-3.15,29.90,19.04,137,21,122,
,-,-,-,-,-,-,885,"3,122.30","3,936.10",885,"45,600.00",15,21.00,-,-,-1.00,29.00,18.49,4,3,6,
,1,1,1,-,"3,353.10",917.25,885,"3,024.30","3,792.70",885,"45,700.00",45,31.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"2,939.90","3,673.45",885,"45,800.00",120,21.30,-,-,-5.25,34.45,18.18,1,-1,31,
,-,-,-,-,-,-,885,"2,841.90","3,565.30",885,"45,900.00",900,11.10,-,-,-,41.05,-,-,-,1,
,11,-,2,-,"3,088.75",-345.30,885,"2,774.75","3,451.80",885,"46,000.00",30,43.40,64.35,15,-0.15,41.25,17.90,87,20,228,
,2,2,2,-,"2,945.30",808.35,885,"2,666.30","3,390.10",885,"46,100.00",900,11.10,-,-,-,50.00,-,-,-,3,
,7,7,7,-,"2,961.80",896.40,885,"2,575.40","3,277.35",885,"46,200.00",900,11.10,-,-,-,-,-,-,-,-,
,1,1,1,-,"2,780.80",785.70,885,"2,477.10","3,167.95",885,"46,300.00",900,11.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,885,"2,305.45","3,052.15",885,"46,400.00",900,21.10,-,-,-,71.50,-,-,-,1,
,-,-,-,-,-,-,885,"2,212.15","2,941.55",885,"46,500.00",15,77.15,87.90,15,13.35,77.10,17.98,24,8,98,
,-,-,-,-,"1,808.75",-,885,"2,120.95","2,851.85",885,"46,600.00",900,21.10,124.30,75,-,124.30,-,-,-,77,
,-,-,-,-,-,-,885,"2,030.30","2,759.65",885,"46,700.00",900,21.10,-,-,-,108.80,-,-,-,3,
,1,1,1,-,"2,322.40",659.05,885,"1,938.55","2,652.80",885,"46,800.00",900,21.10,-,-,-,108.00,-,-,-,6,
,-,-,-,-,-,-,885,"1,846.85","2,471.45",885,"46,900.00",-,-,149.25,885,5.55,124.35,18.17,2,-,3,
,111,-,-,-,"2,715.80",-,450,"1,759.85","2,373.80",885,"47,000.00",15,108.05,127.80,255,35.10,134.60,18.03,"1,035",-22,870,
,-,-,-,-,-,-,885,"1,665.50","2,362.95",885,"47,100.00",-,-,-,-,-0.50,139.00,17.62,6,-,13,
,-,-,-,-,-,-,885,"1,573.20","2,254.80",885,"47,200.00",450,81.60,310.70,450,6.50,146.50,17.33,3,-,2,
,5,-,-,-,"2,000.00",-,885,"1,487.20","2,170.30",885,"47,300.00",450,146.60,204.00,15,1.20,160.20,17.24,51,-27,8,
,-,-,-,-,-,-,660,"1,433.35","2,071.80",885,"47,400.00",450,127.15,226.55,885,-95.30,213.45,18.48,7,6,32,
,118,3,3,14.87,"1,800.00",-130.00,900,"1,422.00","1,930.20",750,"47,500.00",60,192.05,199.00,735,41.10,197.00,17.28,828,116,631,
,7,-,-,-,"2,174.85",-,-,-,"1,929.30",15,"47,600.00",75,153.65,305.00,120,-,-,-,-,-,-,
,7,-,-,-,"1,578.40",-,-,-,"1,828.90",885,"47,700.00",15,165.00,360.55,150,40.80,234.80,17.16,11,1,11,
,-,-,-,-,"1,078.25",-,-,-,"1,745.30",885,"47,800.00",900,207.55,325.00,15,47.05,262.15,17.28,47,20,40,
,28,-,-,-,"1,926.05",-,30,"1,352.25","1,668.90",885,"47,900.00",75,253.00,331.35,450,70.35,286.00,17.26,130,20,132,
,175,6,59,12.93,"1,337.40",-202.60,60,"1,269.20","1,349.80",450,"48,000.00",450,279.65,312.45,60,71.75,310.25,17.19,"1,596",24,"1,681",
,20,-,1,23.60,"1,663.00",88.00,-,-,"1,452.75",885,"48,100.00",90,277.20,365.00,15,78.80,344.35,17.35,79,7,67,
,64,-1,1,11.93,"1,150.00",-250.00,90,"1,098.20","1,272.10",15,"48,200.00",105,315.65,385.80,15,72.90,352.10,16.77,781,28,152,
,54,32,32,14.14,"1,156.30",-143.70,285,"1,063.70","1,189.85",15,"48,300.00",450,345.90,406.40,450,76.10,390.00,16.93,276,214,224,
,7,-1,12,13.08,"1,045.95",-244.05,390,889.75,"1,096.15",60,"48,400.00",15,399.65,437.15,150,72.25,409.30,16.58,231,18,120,
,381,246,425,13.24,984.20,-229.80,15,960.00,984.00,15,"48,500.00",15,442.00,457.90,15,94.25,452.95,16.79,"1,885",-371,625,
,35,8,59,13.29,920.70,-231.80,15,900.00,927.45,15,"48,600.00",15,469.20,495.00,15,91.45,475.05,16.42,141,32,78,
,64,44,161,13.08,848.60,-440.20,450,824.15,869.65,30,"48,700.00",90,506.55,535.30,90,93.35,515.05,16.44,"1,004",83,139,
,156,109,457,13.34,799.15,-191.35,15,785.00,805.75,30,"48,800.00",90,548.10,579.55,15,94.15,552.05,16.34,513,78,206,
,108,72,391,13.07,729.75,-222.25,30,716.05,743.70,15,"48,900.00",15,605.00,622.85,15,121.80,614.70,16.78,"1,114",216,302,
